"Year","Quarter","Group","Unit","Inflation Deflator","Adult Population","Working Age Population","Household Population","Real Total Factor Income","Real Factor Income Share","Real Factor Income Per Unit Growth","Real Factor Income Per Unit","Real Factor Income Threshold"
"1989","3","Top 1%","adult_equal_split","0.43516708333333326","1764898.0262298519","1460839.6306902552","1251109.1249552455","1589549485315.362","0.14451597658938228","0.7028012663087617","900646.6445604981","340873.59067999636"
"1989","4","Top 1%","adult_equal_split","0.4382669133333333","1770360.2127167482","1465023.3475630414","1256434.112980793","1573133873077.5508","0.1428627858425702","0.6800165923171707","888595.3614284298","341573.16100309085"
"1990","1","Top 1%","adult_equal_split","0.4429962533333333","1777094.5616789542","1470132.9965058726","1262326.3706859157","1592100729699.4495","0.14311062734543167","0.6938288773110693","895900.9633090503","346271.7250485763"
"1990","2","Top 1%","adult_equal_split","0.4479605166666667","1784352.499979412","1475611.9439038218","1268423.2341883283","1614576918375.0618","0.14421133084488053","0.7107542007050079","904853.1152861841","349928.55903080007"
"1990","3","Top 1%","adult_equal_split","0.45179553666666666","1791082.98588847","1480654.0231371885","1274146.3710617134","1599794351551.4844","0.1432902617112765","0.6887212945173988","893199.4576219502","349458.0109177249"
"1990","4","Top 1%","adult_equal_split","0.45516065","1797581.7186017812","1485504.0179499735","1279705.5369714883","1603106087365.0986","0.14386316761073495","0.6860993062283341","891812.6340381609","347948.92946292437"
"1991","1","Top 1%","adult_equal_split","0.45961714000000004","1804683.54907462","1490738.161823692","1285746.6873857304","1605547591362.8535","0.14481647553536994","0.6820219271138447","889656.0242853232","349434.84957438667"
"1991","2","Top 1%","adult_equal_split","0.4629898266666667","1811855.0130960264","1495972.5287692018","1291863.9803803007","1592488081861.4844","0.14358311047874545","0.6617369542112874","878926.8845194757","349964.30691647594"
"1991","3","Top 1%","adult_equal_split","0.4666126133333333","1817887.7632481048","1500266.7042607323","1297169.3665997207","1578752378090.9895","0.14203556655374938","0.6419369661937645","868454.2632434904","350519.60752099665"
"1991","4","Top 1%","adult_equal_split","0.4693789566666666","1824004.7771920806","1504630.764223459","1302534.3774974567","1577701304283.7551","0.14115360183504458","0.6353410642559427","864965.5549216865","352760.90796036227"
"1992","1","Top 1%","adult_equal_split","0.47112214666666663","1830634.763125934","1509663.2075811613","1308722.1593862493","1628055326860.5664","0.14282356851932085","0.6814229989608777","889339.2388553524","360516.04618770257"
"1992","2","Top 1%","adult_equal_split","0.47395670333333334","1837113.4732127767","1514693.351545232","1315030.528104533","1666517535219.9463","0.14483789218695917","0.7150762563279943","907139.139481412","364827.91041781125"
"1992","3","Top 1%","adult_equal_split","0.47627589","1842651.240717909","1518947.7635219835","1320664.9712406443","1683589945259.3672","0.14594773777171005","0.7274389532527533","913678.0243902418","365478.52472730126"
"1992","4","Top 1%","adult_equal_split","0.47955003999999996","1847829.0586243377","1522905.7339276094","1326039.9573007862","1737335424901.7986","0.15024812219556874","0.7775892361650202","940203.5414440344","371214.6459873623"
"1993","1","Top 1%","adult_equal_split","0.48224062","1853485.1015355673","1527226.260492415","1330922.5258328125","1735819298496.2473","0.14952262491105428","0.7706182738678922","936516.4559769934","370358.7557984377"
"1993","2","Top 1%","adult_equal_split","0.4851131366666667","1859137.4427641404","1531527.8747447205","1335385.1012886248","1747544550693.8552","0.14876230828015746","0.7771590098786899","939975.9859043178","373105.1723615043"
"1993","3","Top 1%","adult_equal_split","0.48799313999999994","1864004.6082205242","1535182.8273539424","1339283.5287009834","1740565381515.2825","0.14782237129612558","0.765439701814409","933777.4026089542","371659.13182501897"
"1993","4","Top 1%","adult_equal_split","0.4906533866666667","1868935.7095144934","1538890.703882457","1343227.5955333377","1763781614817.0762","0.14790390919968205","0.7842675548018931","943735.8416546421","374610.6435394243"
"1994","1","Top 1%","adult_equal_split","0.49300287333333337","1874487.9139333072","1543265.2163021124","1347943.2358912837","1791720834474.6926","0.14841321356487291","0.8071625925938452","955845.4984727316","376834.4904540099"
"1994","2","Top 1%","adult_equal_split","0.4953827433333333","1880254.9716640648","1547894.1136858526","1352976.36218542","1812928199821.9397","0.14784554438595","0.8229442531173732","964192.7436136283","380020.39883390366"
"1994","3","Top 1%","adult_equal_split","0.4982248733333334","1885468.1215898849","1552066.9793637758","1357611.161565574","1829103733296.1543","0.1477824631419302","0.8341239050333422","970105.8916624894","381715.23388825357"
"1994","4","Top 1%","adult_equal_split","0.5009230266666667","1890646.0030674012","1556210.8107112993","1362220.5753014067","1833275952037.7317","0.14637324305890143","0.8332730318026137","969655.8472942095","383590.65428468975"
"1995","1","Top 1%","adult_equal_split","0.5036439266666667","1896343.5052460737","1560861.942075339","1366879.2373994049","1828775032265.9812","0.14540238013531376","0.8232776330460664","964369.0751210579","383577.2089943479"
"1995","2","Top 1%","adult_equal_split","0.5060616533333334","1902170.6622935291","1565659.6548041494","1371486.9153362543","1850753341393.878","0.1463643170645911","0.8395372734772536","972969.1336750746","385789.61508455843"
"1995","3","Top 1%","adult_equal_split","0.5085551133333334","1906941.5561172124","1569588.0546490622","1375357.7445206707","1882068020104.0137","0.14723718822773635","0.865982048700964","986956.3196976815","391559.54992151144"
"1995","4","Top 1%","adult_equal_split","0.5110031566666667","1911933.0241592533","1573698.1028043516","1379414.3267319333","1914066947836.8464","0.14851684178273228","0.89275315314972","1001116.1079654092","396489.05450019194"
"1996","1","Top 1%","adult_equal_split","0.51345881","1917736.6303051368","1578757.7855308773","1385326.9203159523","1972201563099.527","0.15104909038306588","0.944338447768026","1028400.6322524716","404774.8882756723"
"1996","2","Top 1%","adult_equal_split","0.5155885","1924048.7536977977","1584376.8992765334","1392235.4138311676","2020298862282.5085","0.15251704766446178","0.9852219842466409","1050024.7763471322","412580.8079489886"
"1996","3","Top 1%","adult_equal_split","0.51727863","1929640.836127157","1589403.3242238378","1398624.226380878","2051875667640.6553","0.1535374146875748","1.010407469470787","1063345.8979645283","414462.4831574093"
"1996","4","Top 1%","adult_equal_split","0.5200374133333333","1935263.9493467489","1594455.4306408416","1405036.2350902867","2101219811170.6125","0.15504816993006681","1.0527724452371197","1085753.6057961925","422765.4123570177"
"1997","1","Top 1%","adult_equal_split","0.5231448633333334","1941644.8489147276","1600445.838331533","1410663.407069008","2139243835508.452","0.15625789174759747","1.0830515770489146","1101768.8619544255","425343.7454511041"
"1997","2","Top 1%","adult_equal_split","0.5241831933333333","1948225.0047455512","1606757.7297692092","1415767.7137779396","2183936215860.287","0.15732187183424495","1.1193874887276136","1120987.673672488","429409.05828648765"
"1997","3","Top 1%","adult_equal_split","0.52647201","1953810.1681580327","1612249.082440164","1420148.9865531027","2240308511585.5903","0.15881352347376987","1.1678787709974983","1146635.7111334188","437816.78847753344"
"1997","4","Top 1%","adult_equal_split","0.5282227966666667","1959197.4783235153","1617576.753022603","1424386.297188576","2278740013915.2173","0.15941467583732916","1.1990043802658144","1163098.6866444594","441665.2936693122"
"1998","1","Top 1%","adult_equal_split","0.5289731433333333","1965362.6527519245","1623139.1392327566","1429711.8895873341","2283817005666.7935","0.1581699478758522","1.1969902651126239","1162033.3796762472","443493.8871396466"
"1998","2","Top 1%","adult_equal_split","0.5302236866666666","1971785.8994165168","1628711.1033009533","1435486.91708252","2341198861545.1733","0.15972751782838485","1.2448538761101942","1187349.4288796626","451095.42280425836"
"1998","3","Top 1%","adult_equal_split","0.5324670666666667","1977569.1948655024","1633754.4916939202","1440796.17181178","2396607542844.189","0.16144261942612087","1.2912620533796693","1211895.6692219237","458193.1400728544"
"1998","4","Top 1%","adult_equal_split","0.53396775","1983218.181410102","1638686.8716796488","1446007.3675788066","2414833870781.8745","0.16115015980612044","1.3021111726884746","1217633.9917703287","464514.48820381326"
"1999","1","Top 1%","adult_equal_split","0.53570332","1990018.665847799","1644903.762901824","1452370.3026075165","2478315889668.7686","0.16277647337202475","1.3545560892507256","1245373.187800197","474499.52862949896"
"1999","2","Top 1%","adult_equal_split","0.53772696","1997121.0643914805","1651537.1902671002","1459110.6160696598","2493440395712.9204","0.16314230576630406","1.3605006690880947","1248517.3984545937","476049.5453943471"
"1999","3","Top 1%","adult_equal_split","0.53962926","2003461.7527558412","1657541.0972035406","1465295.199981944","2512349309098.5894","0.1630127293270306","1.370874116653718","1254004.128425588","481694.8590246018"
"1999","4","Top 1%","adult_equal_split","0.5426230233333333","2009460.6920231534","1663262.261083523","1471229.8339446643","2571821632531.103","0.16437371183105068","1.4197520081379396","1279856.6514589328","487651.9862069583"
"2000","1","Top 1%","adult_equal_split","0.5462306333333333","2015894.9664951637","1669578.104566775","1476866.4932672877","2642649811430.143","0.165671863751383","1.478456183417285","1310906.4982808384","495757.4726623376"
